Proceso,Expediente Tipo,Expediente Número,Magistrado(a) ponente,Sala,Sentencia Tipo,Sentencia,Fecha Sentencia,SV-SPV,AV-APV
Tutela,T,1297,José Gregorio Hernández Galindo,Salas de Revisión,T,T-012/92,02/25/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,118,José Gregorio Hernández Galindo,Salas de Revisión,T,T-001/92,04/03/1992 12:00:00 AM,s.d.,s.d.
Decreto Legislativo,RE,1,Eduardo Cifuentes Muñoz,Sala Plena,C,C-004/92,05/07/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,644,Alejandro Martínez Caballero,Salas de Revisión,T,T-002/92,05/08/1992 12:00:00 AM,s.d.,s.d.
Decreto Legislativo,RE,3,Jaime Sanin Greiffenstein,Sala Plena,C,C-005/92,05/11/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,309,José Gregorio Hernández Galindo,Salas de Revisión,T,T-003/92,05/11/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,221,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-006/92,05/12/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,283,José Gregorio Hernández Galindo,Salas de Revisión,T,T-007/92,05/13/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,399,Fabio Morón Díaz,Salas de Revisión,T,T-008/92,05/18/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,31,Alejandro Martínez Caballero,Salas de Revisión,T,T-009/92,05/22/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,531,Alejandro Martínez Caballero,Salas de Revisión,T,T-010/92,05/22/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,716,Alejandro Martínez Caballero,Salas de Revisión,T,T-011/92,05/22/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,210,Fabio Morón Díaz,Salas de Revisión,T,T-013/92,05/28/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,771,Fabio Morón Díaz,Salas de Revisión,T,T-014/92,05/28/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,265,Fabio Morón Díaz,Salas de Revisión,T,T-015/92,05/28/1992 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,6,Alejandro Martínez Caballero,Sala Plena,C,C-221/92,05/29/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,350,Ciro Angarita Baron,Salas de Revisión,T,T-223/92,06/02/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,104,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-401/92,06/03/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,503,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-402/92,06/03/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,628,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-403/92,06/03/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,586,José Gregorio Hernández Galindo,Salas de Revisión,T,T-404/92,06/03/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1018,José Gregorio Hernández Galindo,Salas de Revisión,T,T-405/92,06/03/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,778,Ciro Angarita Baron,Salas de Revisión,T,T-406/92,06/05/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,81,Simon Rodriguez Rodriguez,Salas de Revisión,T,T-407/92,06/05/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,480,Ciro Angarita Baron,Salas de Revisión,T,T-413/92,06/05/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,606,José Gregorio Hernández Galindo,Salas de Revisión,T,T-408/92,06/08/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,125,José Gregorio Hernández Galindo,Salas de Revisión,T,T-409/92,06/08/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,43,José Gregorio Hernández Galindo,Salas de Revisión,T,T-410/92,06/08/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,534,Ciro Angarita Baron,Salas de Revisión,T,T-414/92,06/16/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,26,Ciro Angarita Baron,Salas de Revisión,T,T-222/92,06/17/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,744,Ciro Angarita Baron,Salas de Revisión,T,T-224/92,06/17/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,670,Ciro Angarita Baron; EDuardo Cifuentes Muñoz,Salas de Revisión,T,T-225/92,06/17/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,785,Alejandro Martínez Caballero,Salas de Revisión,T,T-411/92,06/17/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,875,Alejandro Martínez Caballero,Salas de Revisión,T,T-412/92,06/17/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,101,Ciro Angarita Baron,Salas de Revisión,T,T-415/92,06/17/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,355,Simon Rodriguez Rodriguez,Salas de Revisión,T,T-419/92,06/17/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,693,Simon Rodriguez Rodriguez,Salas de Revisión,T,T-420/92,06/17/1992 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,14,Fabio Morón Díaz,Sala Plena,C,C-417/92,06/18/1992 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,15,José Gregorio Hernández Galindo,Sala Plena,C,C-416/92,06/19/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,398,Simon Rodriguez Rodriguez,Salas de Revisión,T,T-418/92,06/19/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1263,Alejandro Martínez Caballero,Salas de Revisión,T,T-421/92,06/19/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,29,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-422/92,06/19/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,351,Fabio Morón Díaz,Salas de Revisión,T,T-423/92,06/24/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1246,Fabio Morón Díaz,Salas de Revisión,T,T-424/92,06/24/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,736,Ciro Angarita Baron,Salas de Revisión,T,T-425/92,06/24/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,824,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-426/92,06/24/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,936,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-427/92,06/24/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,859,Ciro Angarita Baron,Salas de Revisión,T,T-428/92,06/24/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1011,Ciro Angarita Baron,Salas de Revisión,T,T-429/92,06/24/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,945,José Gregorio Hernández Galindo,Salas de Revisión,T,T-430/92,06/24/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1005,José Gregorio Hernández Galindo,Salas de Revisión,T,T-431/92,06/24/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,998,Simon Rodriguez Rodriguez,Salas de Revisión,T,T-433/92,06/24/1992 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,26,Fabio Morón Díaz,Sala Plena,C,C-434/92,06/25/1992 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,8,Fabio Morón Díaz,Sala Plena,C,C-435/92,06/25/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,860,Simon Rodriguez Rodriguez,Salas de Revisión,T,T-432/92,06/25/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1554,José Gregorio Hernández Galindo,Salas de Revisión,T,T-437/92,06/30/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1507,Ciro Angarita Baron,Salas de Revisión,T,T-436/92,07/01/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1413,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-438/92,07/02/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1088,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-439/92,07/02/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1152,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-440/92,07/02/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1378,Alejandro Martínez Caballero,Salas de Revisión,T,T-441/92,07/03/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1076,Simon Rodriguez Rodriguez,Salas de Revisión,T,T-442/92,07/03/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1369,José Gregorio Hernández Galindo,Salas de Revisión,T,T-443/92,07/06/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1117,Simon Rodriguez Rodriguez,Salas de Revisión,T,T-445/92,07/06/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1109,Alejandro Martínez Caballero,Salas de Revisión,T,T-444/92,07/07/1992 12:00:00 AM,s.d.,s.d.
Tutela,T,1511,Fabio Morón Díaz,Salas de Revisión,T,T-446/92,07/08/1992 12:00:00 AM,s.d.,s.d.
Decreto Legislativo,RE,4,Eduardo Cifuentes Muñoz,Sala Plena,C,C-447/92,07/09/1992 12:00:00 AM,s.d.,s.d.
Decreto Legislativo,RE,5,José Gregorio Hernández Galindo,Sala Plena,C,C-448/92,07/09/1992 12:00:00 AM,s.d.,s.d.
